"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100 V 10uf","~","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1",""
"C2,C3,C4,C5,C6","25 V 0.1uf","~","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","5",""
"D1","12V","~","Diode_THT:D_A-405_P10.16mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D5.0mm","1",""
"F1,F2","100 mA","~","Fuse:Fuse_BelFuse_0ZRE0008FF_L8.3mm_W3.8mm","2",""
"J1,J4,J5","Conn_01x02_Pin","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","3",""
"J2","HV+","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J3","HV-","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"Q1","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R2","47K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R3","22K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4,R5,R6,R8,R9,R10,R11,R13,R15,R18","1K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","10",""
"R7,R12,R14,R17","10K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","4",""
"R16","100","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"U1","LM311","https://www.st.com/resource/en/datasheet/lm311.pdf","Package_DIP:CERDIP-8_W7.62mm_SideBrazed_LongPads","1",""
"U2","4N35","https://www.vishay.com/docs/81181/4n35.pdf","Package_DIP:DIP-6_W7.62mm","1",""
